race_id	max_digitos	sugerencia
27775308-36b8-49dd-9bb6-1c9b72e1159a	13	ms
2def4522-a96a-4df5-92a4-d4030ec2a5be	13	ms
482f1864-17d0-47f6-bdb1-477551403f7f	13	ms
49603c2f-1b2b-457f-b82e-fed8bded1d3d	13	ms
5ac73786-d053-4b78-955a-c63fbf3e098c	13	ms
609139b1-d6bd-4553-ac89-2f648787a60d	13	ms
704ad13c-e4ec-463c-8e79-c3cb8044a616	13	ms
7097ad2f-ef93-4e4f-9728-d07325269237	13	ms
72a81045-fb27-43e6-a201-b1d42be42fac	13	ms
73840d47-8712-4de3-94e4-0bd3f467aedf	13	ms
7841bfc5-ffb6-4111-b0e4-01bfab9c336e	13	ms
7a5c751e-edee-49f9-8db3-b5433836f3f8	13	ms
8bbfdd2e-da3d-4934-a1c5-8fbd303d4974	13	ms
af5c5746-04e8-42ab-9610-b12f0d9125b1	13	ms
b9237ca4-693e-4b25-b350-0307be4ec892	13	ms
c9ddd2cc-1f02-4469-82cb-a0627e1b82fc	13	ms
d221bcb0-4242-4ad9-aa5d-706446341917	13	ms
d266faaa-7528-4d33-915f-37eb6afc7735	13	ms
ee6c309a-10c5-4934-b009-e9a9f81a3074	13	ms
